,Country,EdLevel,YearsCodePro,Salary
1324,United States of America,Bachelor’s degree,7.0,66000.0
1330,Italy,Master’s degree,3.0,25944.0
1331,India,Master’s degree,7.0,16080.0
1333,United States of America,Bachelor’s degree,1.0,90000.0
1335,India,Master’s degree,10.0,111694.0
1336,United States of America,Bachelor’s degree,1.0,65000.0
1339,United States of America,Bachelor’s degree,26.0,150000.0
1342,Germany,Bachelor’s degree,3.0,60972.0
1343,India,Bachelor’s degree,11.0,23735.0
1347,Germany,Post graduation,6.0,62481.0
1349,Canada,Bachelor’s degree,3.0,31400.0
1350,United States of America,Bachelor’s degree,23.0,150000.0
1356,France,Master’s degree,18.0,51887.0
1359,India,Bachelor’s degree,8.0,29320.0
1360,United States of America,Bachelor’s degree,11.0,105000.0
1364,India,Master’s degree,9.0,44678.0
1365,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,12.0,134430.0
1371,Netherlands,Bachelor’s degree,17.0,71340.0
1372,Italy,Bachelor’s degree,16.0,41077.0
1373,United States of America,Less than a Bachelors degree,3.0,70000.0
1376,Netherlands,Bachelor’s degree,12.0,59454.0
1379,Italy,Master’s degree,26.0,45401.0
1382,India,Bachelor’s degree,6.0,34904.0
1384,United States of America,Master’s degree,8.0,150000.0
1389,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,6.0,47826.0
1391,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,11.0,64630.0
1393,United States of America,Master’s degree,12.0,80000.0
1394,Germany,Post graduation,16.0,84316.0
1397,Netherlands,Bachelor’s degree,21.0,81074.0
1415,Italy,Master’s degree,9.0,57292.0
1422,Brazil,Less than a Bachelors degree,4.0,16035.0
1424,Germany,Bachelor’s degree,5.0,73507.0
1427,Canada,Less than a Bachelors degree,4.0,55967.0
1435,Germany,Master’s degree,35.0,54070.0
1440,United States of America,Master’s degree,10.0,250000.0
1446,United States of America,Less than a Bachelors degree,10.0,155000.0
1449,Spain,Less than a Bachelors degree,4.0,32429.0
1457,Brazil,Master’s degree,12.0,30240.0
1474,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,11.0,118919.0
1475,United States of America,Master’s degree,5.0,140000.0
1481,United States of America,Bachelor’s degree,5.0,120000.0
1482,United States of America,Post graduation,14.0,130000.0
1489,Spain,Less than a Bachelors degree,9.0,81074.0
1490,United States of America,Master’s degree,15.0,115000.0
1492,United Kingdom of Great Britain and Northern Ireland,Master’s degree,0.5,38778.0
1500,United States of America,Less than a Bachelors degree,9.0,150000.0
1503,United States of America,Bachelor’s degree,1.0,70000.0
1504,United States of America,Bachelor’s degree,10.0,130000.0
1505,France,Master’s degree,7.0,52968.0
1507,India,Bachelor’s degree,9.0,25128.0
1510,Germany,Master’s degree,7.0,85397.0
1511,United States of America,Post graduation,2.0,123000.0
1512,Germany,Master’s degree,10.0,97288.0
1524,United States of America,Master’s degree,7.0,110000.0
1525,Canada,Master’s degree,10.0,90758.0
1527,Germany,Master’s degree,12.0,69183.0
1531,Spain,Bachelor’s degree,7.0,32429.0
1533,United States of America,Bachelor’s degree,9.0,240000.0
1534,United States of America,Bachelor’s degree,31.0,82000.0
1537,United States of America,Bachelor’s degree,5.0,76000.0
1540,United States of America,Bachelor’s degree,42.0,70000.0
1551,India,Bachelor’s degree,1.0,25131.0
1555,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,7.0,55582.0
1558,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,2.0,31020.0
1560,United States of America,Bachelor’s degree,13.0,97000.0
1562,Italy,Master’s degree,3.0,25944.0
1565,India,Master’s degree,10.0,25131.0
1569,Germany,Bachelor’s degree,20.0,75669.0
1571,Spain,Bachelor’s degree,3.0,30267.0
1572,France,Master’s degree,4.0,41077.0
1573,Brazil,Less than a Bachelors degree,6.0,26796.0
1586,Canada,Master’s degree,6.0,96808.0
1588,United States of America,Bachelor’s degree,4.0,76000.0
1593,Australia,Bachelor’s degree,1.0,40086.0
1594,United States of America,Bachelor’s degree,34.0,112000.0
1599,United States of America,Bachelor’s degree,28.0,170000.0
1602,France,Master’s degree,2.0,37834.0
1605,United States of America,Bachelor’s degree,6.0,60000.0
1607,France,Bachelor’s degree,16.0,25428.0
1608,Netherlands,Master’s degree,21.0,81074.0
1611,India,Bachelor’s degree,4.0,12230.0
1614,United States of America,Bachelor’s degree,8.0,150000.0
1615,India,Bachelor’s degree,8.0,36300.0
1619,United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,77556.0
1620,Germany,Master’s degree,3.0,40212.0
1627,Italy,Less than a Bachelors degree,22.0,23352.0
1628,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,11.0,77556.0
1629,Canada,Less than a Bachelors degree,20.0,56723.0
1631,Canada,Post graduation,5.0,75631.0
1632,United States of America,Master’s degree,5.0,103000.0
1634,United States of America,Master’s degree,6.0,95000.0
1637,United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,64630.0
1638,Brazil,Bachelor’s degree,5.0,82464.0
1639,Germany,Post graduation,2.0,108098.0
1645,Canada,Less than a Bachelors degree,5.0,75631.0
1646,Germany,Bachelor’s degree,13.0,84316.0
1652,Netherlands,Master’s degree,2.0,60535.0
1654,India,Bachelor’s degree,6.0,37000.0
1657,United States of America,Bachelor’s degree,12.0,160000.0
1660,Italy,Master’s degree,3.0,23782.0
1664,Canada,Less than a Bachelors degree,5.0,86976.0
1674,Germany,Master’s degree,20.0,64859.0
1675,India,Bachelor’s degree,4.0,33504.0
1678,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,193889.0
1680,Germany,Less than a Bachelors degree,6.0,67021.0
1682,United States of America,Bachelor’s degree,2.0,86000.0
1683,United States of America,Post graduation,18.0,193052.0
1684,France,Master’s degree,5.0,42158.0
1685,Canada,Less than a Bachelors degree,5.0,60505.0
1687,United States of America,Bachelor’s degree,4.0,132000.0
1688,Canada,Bachelor’s degree,8.0,73741.0
1689,Germany,Bachelor’s degree,8.0,62697.0
1690,Brazil,Less than a Bachelors degree,11.0,65976.0
1691,Brazil,Bachelor’s degree,2.0,27492.0
1693,Spain,Master’s degree,7.0,37834.0
1698,United States of America,Bachelor’s degree,16.0,148000.0
1699,United States of America,Bachelor’s degree,20.0,135000.0
1700,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,9.0,51704.0
1701,France,Post graduation,8.0,43239.0
1704,France,Bachelor’s degree,4.0,24696.0
